aggregate_period,partial,content_scope,content_category,aggregate_count,source_url,last_verified
2022-03,false,top_videos,announcement,14,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-03,false,top_videos,asmr,14,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-03,false,top_videos,chat,41,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-03,false,top_videos,collab,11,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-03,false,top_videos,game,78,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-03,false,top_videos,other,307,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-03,false,top_videos,shorts,3,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-03,false,top_videos,singing,44,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,top_videos,announcement,42,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,top_videos,asmr,42,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,top_videos,chat,128,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,top_videos,collab,29,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,top_videos,game,110,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,top_videos,other,580,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,top_videos,shorts,8,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,top_videos,singing,110,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,youtube_livestreams,announcement,30,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,youtube_livestreams,asmr,9,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,youtube_livestreams,chat,120,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,youtube_livestreams,collab,29,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,youtube_livestreams,game,182,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,youtube_livestreams,other,711,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,youtube_livestreams,singing,67,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-09,false,top_videos,announcement,41,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-09,false,top_videos,asmr,55,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-09,false,top_videos,chat,84,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-09,false,top_videos,collab,48,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-09,false,top_videos,game,109,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-09,false,top_videos,other,512,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-09,false,top_videos,shorts,27,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-09,false,top_videos,singing,161,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
